name,mos
banana/banana_gQP_1_tQP_1.ply,60.30135594
banana/banana_gQP_1_tQP_2.ply,56.05951863
banana/banana_gQP_1_tQP_3.ply,52.14230175
banana/banana_gQP_2_tQP_1.ply,43.47696839
banana/banana_gQP_2_tQP_2.ply,43.98226716
banana/banana_gQP_2_tQP_3.ply,39.80857854
banana/banana_gQP_3_tQP_1.ply,29.10726664
banana/banana_gQP_3_tQP_2.ply,23.95632388
banana/banana_gQP_3_tQP_3.ply,22.65939287
banana/banana_gsigma_0_tsigma_16.ply,60.4722494
banana/banana_gsigma_0_tsigma_32.ply,40.11307634
banana/banana_gsigma_0_tsigma_8.ply,83.0931383
banana/banana_gsigma_2_tsigma_16.ply,49.66770221
banana/banana_gsigma_2_tsigma_32.ply,31.34629454
banana/banana_gsigma_2_tsigma_8.ply,50.75512514
banana/banana_gsigma_4_tsigma_16.ply,27.01710822
banana/banana_gsigma_4_tsigma_32.ply,23.38349674
banana/banana_gsigma_4_tsigma_8.ply,31.97703197
banana/banana_level_7.ply,7.109028314
banana/banana_level_8.ply,23.08348257
banana/banana_level_9.ply,89.49153987
banana/banana_pqs_1_qs_16_rounded.ply,82.92557282
banana/banana_pqs_1_qs_32_rounded.ply,78.10954901
banana/banana_pqs_1_qs_48_rounded.ply,61.89404966
banana/banana_pqs_1_qs_64_rounded.ply,40.01541846
banana/banana_tsl_4_tqs_128.ply,52.49538462
banana/banana_tsl_4_tqs_256.ply,34.18431286
banana/banana_tsl_4_tqs_512.ply,29.94302564
banana/banana_tsl_4_tqs_64.ply,54.12092417
banana/banana_tsl_6_tqs_128.ply,79.9250077
banana/banana_tsl_6_tqs_256.ply,61.62952635
banana/banana_tsl_6_tqs_512.ply,35.85265105
banana/banana_tsl_6_tqs_64.ply,83.18362987
banana/banana_tsl_8_tqs_128.ply,86.14465436
banana/banana_tsl_8_tqs_256.ply,61.90144929
banana/banana_tsl_8_tqs_512.ply,38.96808477
banana/banana_tsl_8_tqs_64.ply,84.62807112
cauliflower/cauliflower_gQP_1_tQP_1.ply,87.62483924
cauliflower/cauliflower_gQP_1_tQP_2.ply,69.93401821
cauliflower/cauliflower_gQP_1_tQP_3.ply,55.86648008
cauliflower/cauliflower_gQP_2_tQP_1.ply,77.6400648
cauliflower/cauliflower_gQP_2_tQP_2.ply,61.72646927
cauliflower/cauliflower_gQP_2_tQP_3.ply,50.22284116
cauliflower/cauliflower_gQP_3_tQP_1.ply,34.47364814
cauliflower/cauliflower_gQP_3_tQP_2.ply,27.41161955
cauliflower/cauliflower_gQP_3_tQP_3.ply,30.23139757
cauliflower/cauliflower_gsigma_0_tsigma_16.ply,57.42510381
cauliflower/cauliflower_gsigma_0_tsigma_32.ply,40.19071723
cauliflower/cauliflower_gsigma_0_tsigma_8.ply,77.76226833
cauliflower/cauliflower_gsigma_2_tsigma_16.ply,53.13171917
cauliflower/cauliflower_gsigma_2_tsigma_32.ply,31.36818616
cauliflower/cauliflower_gsigma_2_tsigma_8.ply,64.1622967
cauliflower/cauliflower_gsigma_4_tsigma_16.ply,44.40470161
cauliflower/cauliflower_gsigma_4_tsigma_32.ply,27.32584159
cauliflower/cauliflower_gsigma_4_tsigma_8.ply,47.85717299
cauliflower/cauliflower_level_7.ply,8.793459623
cauliflower/cauliflower_level_8.ply,16.03060304
cauliflower/cauliflower_level_9.ply,74.68114942
cauliflower/cauliflower_pqs_1_qs_16_rounded.ply,90.03846164
cauliflower/cauliflower_pqs_1_qs_32_rounded.ply,63.72945614
cauliflower/cauliflower_pqs_1_qs_48_rounded.ply,27.07846018
cauliflower/cauliflower_pqs_1_qs_64_rounded.ply,14.40334861
cauliflower/cauliflower_tsl_4_tqs_128.ply,42.18869294
cauliflower/cauliflower_tsl_4_tqs_256.ply,33.13006869
cauliflower/cauliflower_tsl_4_tqs_512.ply,26.6104176
cauliflower/cauliflower_tsl_4_tqs_64.ply,61.90399729
cauliflower/cauliflower_tsl_6_tqs_128.ply,64.27065355
cauliflower/cauliflower_tsl_6_tqs_256.ply,41.86633972
cauliflower/cauliflower_tsl_6_tqs_512.ply,29.74216566
cauliflower/cauliflower_tsl_6_tqs_64.ply,75.53395733
